strategy,timeframe,tp,sl,leverage,trades,wins,win_rate,avg_win,avg_loss,risk_reward,ev,total_pnl
EMA50/200黄金交叉,1h,100,2,30,156,57,36.53846153846153,5.490057465548701,1.9395910725696164,50.0,1058.0769230769229,3627.4127805565176
EMA7/25金叉,1d,150,3,30,28,7,25.0,58.434117511538865,3.0000000000000036,50.0,1057.5,10381.164677423158
EMA7/25金叉,1h,150,3,20,571,207,36.25218914185639,5.418420147876413,2.740559193567844,50.0,1049.3169877408054,2480.9884830344477
突破买入,1h,200,3,15,674,242,35.90504451038576,5.563037141106371,2.71763584609914,66.66666666666667,1048.3086053412462,2583.544539493695
趋势EMA交叉,4h,200,2,30,175,32,18.285714285714285,18.025733452676004,2.000000000000001,100.0,1048.1142857142856,8724.704114568956
趋势EMA交叉,1h,150,2,25,571,165,28.896672504378284,5.710988576525867,1.9346730233739458,75.0,1048.0735551663747,3920.8966909236565
趋势EMA交叉,1d,200,2,25,23,5,21.73913043478261,64.62306488247118,2.0000000000000018,100.0,1047.8260869565217,7177.883110308896
突破买入,1h,150,3,20,674,242,35.90504451038576,5.563037141106371,2.71763584609914,50.0,1038.6943620178045,3444.7260526582604
放量突破,1h,200,2,20,592,158,26.68918918918919,5.368617395859407,1.9588564794472447,100.0,1038.2432432432431,-38.04327068635729
EMA50/200黄金交叉,1h,100,3,25,151,65,43.04635761589404,5.117341182959109,2.6029406565636637,33.333333333333336,1033.4437086092714,2719.3570106966745
EMA50/200黄金交叉,1h,150,5,15,145,69,47.58620689655172,4.964917052098005,3.9231923777452193,30.0,1031.3793103448274,666.2498382918862
EMA7/25金叉,1h,100,3,30,571,207,36.25218914185639,5.418420147876413,2.740559193567844,33.333333333333336,1030.1926444833623,3721.4827245516717
放量突破,4h,200,2,25,131,28,21.374045801526716,15.994410330544442,2.000000000000002,100.0,1029.3893129770993,6046.087231381105
看涨插针,1h,200,3,15,703,247,35.13513513513514,5.430006723035712,2.7945971910981684,66.66666666666667,1024.864864864865,1003.130121735847
看涨插针,4h,200,3,25,240,52,21.666666666666668,14.1527134624742,2.9569167018995,66.66666666666667,1024.5833333333335,4501.019002288815
突破买入,1h,200,2,20,831,218,26.233453670276774,6.116471737654331,1.9395129550441723,100.0,1019.8315282791817,2889.38794733133
突破买入,1h,100,3,30,674,242,35.90504451038576,5.563037141106371,2.71763584609914,33.333333333333336,1019.4658753709199,5167.08907898739
看涨插针,1h,150,3,20,703,247,35.13513513513514,5.430006723035712,2.7945971910981684,50.0,1015.1351351351352,1337.5068289811293
看涨插针,1h,200,2,20,858,224,26.107226107226104,6.005519455162066,1.9593387807180902,100.0,1014.7319347319345,2060.3114196206707
EMA7/25金叉,1h,150,2,25,686,192,27.988338192419825,5.886276420309713,1.9518614038072095,75.0,1013.5568513119534,4148.638480467579
趋势EMA交叉,4h,200,3,20,148,39,26.351351351351347,15.155561364116926,3.0000000000000036,66.66666666666667,1009.8648648648648,5281.337864011194
RSI超卖,1h,150,2,30,704,165,23.4375,5.716890501007958,1.9651723791361826,75.0,1008.75,-3478.2293906426758
放量突破,1h,150,5,15,439,203,46.24145785876993,4.966932391282194,3.8860528380090065,30.0,1000.1138952164007,1367.682084902397
看涨插针,1h,100,3,30,703,247,35.13513513513514,5.430006723035712,2.7945971910981684,33.333333333333336,995.6756756756758,2006.260243471694
趋势EMA交叉,1h,150,5,15,417,192,46.043165467625904,5.242733758790978,3.7553872593353956,30.0,995.5035971223022,2424.6412250610565
EMA7/25金叉,1d,200,2,25,29,6,20.689655172413794,60.51872464458819,2.0000000000000013,100.0,994.8275862068966,7927.808696688227
EMA7/25金叉,4h,150,3,30,174,41,23.563218390804597,15.895032502561449,2.980875838553391,50.0,991.5517241379312,7657.195382322554
趋势EMA交叉,4h,200,5,15,119,41,34.45378151260504,14.349935275090486,4.719951705996335,40.0,984.453781512605,3302.866698164936
放量突破,1d,150,2,15,9,4,44.44444444444444,66.80920916989248,2.000000000000005,75.0,983.3333333333333,3858.552550193548
放量突破,4h,150,3,25,116,32,27.586206896551722,15.712322801053569,2.974094970420479,50.0,980.1724137931036,6324.258802959849
EMA50/200黄金交叉,1h,200,7,10,142,72,50.70422535211267,4.882833452325194,4.452772996384771,28.571428571428573,979.5774647887323,398.6989882048002
突破买入,1d,200,3,25,29,6,20.689655172413794,51.23510893562037,3.0000000000000044,66.66666666666667,975.0000000000001,5960.266340343053
放量突破,1d,150,3,15,9,4,44.44444444444444,66.80920916989248,3.0000000000000027,50.0,974.9999999999999,3783.552550193548
EMA7/25金叉,1h,150,5,15,474,213,44.936708860759495,5.316209812814482,3.7584512605450207,30.0,969.7784810126583,2270.9536669085137
EMA50/200黄金交叉,4h,150,2,30,31,7,22.58064516129032,14.637636299660256,2.000000000000003,75.0,969.6774193548385,1633.9036229286514
放量突破,1h,200,7,10,411,206,50.121654501216554,4.962877840077413,4.416029748254245,28.571428571428573,967.5182481751826,1170.6673666382674
放量突破,1d,75,2,30,9,4,44.44444444444444,48.059209169892476,2.000000000000005,37.5,966.6666666666665,5467.105100387096
趋势EMA交叉,1h,200,7,10,388,194,50.0,5.058021642980719,4.187845893056565,28.571428571428573,965.0,1688.1409548528607
突破买入,4h,200,2,30,272,46,16.911764705882355,17.077840323618194,1.993595980936652,100.0,964.8529411764707,10050.838895842608
放量突破,1h,150,2,25,592,158,26.68918918918919,5.368617395859407,1.9588564794472447,75.0,964.1891891891892,-47.55408835794661
突破买入,1d,200,2,25,30,6,20.0,51.23510893562037,2.0000000000000013,100.0,960.0,6485.266340343055
放量突破,4h,200,5,15,104,35,33.65384615384615,13.741117001477031,4.748468621068567,40.0,959.8557692307693,2299.421402969474
放量突破,1d,150,5,15,9,4,44.44444444444444,66.80920916989248,5.000000000000004,30.0,958.3333333333333,3633.5525501935485
EMA7/25金叉,1d,200,3,20,28,7,25.0,58.434117511538865,3.0000000000000036,66.66666666666667,955.0,6920.776451615438
突破买入,4h,150,3,30,229,52,22.707423580786028,15.236475486564416,2.986173399388042,50.0,952.2707423580787,7912.321008289984
EMA7/25金叉,4h,200,2,30,210,35,16.666666666666664,17.897385255699746,2.0000000000000013,100.0,949.9999999999999,8292.254518484726
放量突破,1d,75,3,30,9,4,44.44444444444444,48.059209169892476,3.0000000000000027,25.0,949.9999999999999,5317.105100387096
突破买入,1h,150,5,15,561,247,44.02852049910874,5.5031763280034465,3.715975249981834,30.0,948.6631016042782,2887.0248678383327
突破买入,1h,150,2,25,831,218,26.233453670276774,6.116471737654331,1.9395129550441723,75.0,946.8712394705174,3611.734934164163
EMA7/25金叉,1h,200,7,10,440,216,49.09090909090909,5.207874399151381,4.323517641931397,28.571428571428573,946.1818181818182,1564.3291842406538
看涨插针,4h,200,5,15,181,60,33.14917127071823,12.219111595734104,4.7412114439221265,40.0,944.3370165745855,2391.9016654420357
EMA50/200黄金交叉,1h,150,3,15,151,65,43.04635761589404,5.117341182959109,2.6029406565636637,50.0,942.9139072847681,1631.6142064180049
看涨插针,1h,150,2,25,858,224,26.107226107226104,6.005519455162066,1.9593387807180902,75.0,942.074592074592,2575.389274525838
