timestamp,symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply
2025-11-15 00:00:00,BTCUSDT,93386.8,8829245667.32,19948450.00000000
2025-11-15 01:00:00,BTCUSDT,94185.081,8958875486.2119,19948450.00000000
2025-11-15 02:00:00,BTCUSDT,94431.245,9029684537.252506,19948450.00000000
2025-11-15 03:00:00,BTCUSDT,95648.728,9226065875.6784,19948812.00000000
2025-11-15 04:00:00,BTCUSDT,96523.038,9303720500.5668,19948812.00000000
2025-11-15 05:00:00,BTCUSDT,96603.467,9281400279.9991,19948812.00000000
2025-11-15 06:00:00,BTCUSDT,96857.82,9327243407.706,19948812.00000000
2025-11-15 07:00:00,BTCUSDT,96882.293,9309748934.1662,19948812.00000000
2025-11-15 08:00:00,BTCUSDT,96876.52,9328470084.426617,19948812.00000000
2025-11-15 09:00:00,BTCUSDT,96738.391,9276684593.241846,19948812.00000000
2025-11-15 10:00:00,BTCUSDT,96866.317,9278676670.584236,19948812.00000000
2025-11-15 11:00:00,BTCUSDT,96979.902,9301730245.935797,19948812.00000000
2025-11-15 12:00:00,BTCUSDT,97019.106,9280595430.2844,19948812.00000000
2025-11-15 13:00:00,BTCUSDT,97189.316,9307906194.557468,19948812.00000000
2025-11-15 14:00:00,BTCUSDT,97306.412,9372884445.6408,19948812.00000000
2025-11-15 15:00:00,BTCUSDT,97356.258,9366419365.354153,19948812.00000000
2025-11-15 16:00:00,BTCUSDT,97276.727,9360170953.0667,19948812.00000000
2025-11-15 17:00:00,BTCUSDT,96923.414,9315435319.9782,19948812.00000000
2025-11-15 18:00:00,BTCUSDT,97082.402,9337822295.169,19948812.00000000
2025-11-15 19:00:00,BTCUSDT,96770.59,9291058691.160393,19948812.00000000
2025-11-15 20:00:00,BTCUSDT,96694.983,9279595120.0491,19948812.00000000
2025-11-15 21:00:00,BTCUSDT,96618.938,9203216400.863014,19948812.00000000
2025-11-15 22:00:00,BTCUSDT,96792.567,9219046760.9418,19948812.00000000
2025-11-15 23:00:00,BTCUSDT,96741.518,9246521659.806528,19948812.00000000
2025-11-16 00:00:00,BTCUSDT,96867.482,9256685640.1646,19948812.00000000
